Title,Subtitle,Album,Year,Duration,ImageUrl,MusicUrl,Artist,LocalMusicUrl,LocalImageUrl
Lucid Dream,Juice WRLD - Lucid Dreams,Lucid Dreams,2018,240,https://c.saavncdn.com/530/Lucid-Dreams-English-2018-20181219230329-150x150.jpg,https://aac.saavncdn.com/530/1e434167db18f940a4f82ead944bce86_96.mp4,['Juice WRLD'],./music/Lucid Dreams/Lucid Dreams.mp3,./music/Lucid Dreams/Lucid Dreams.png
XO Tour Llif3,Lil Uzi Vert - Luv Is Rage 2,Luv Is Rage 2,2017,182,https://c.saavncdn.com/979/Luv-Is-Rage-2-English-2017-20190607042947-150x150.jpg,https://aac.saavncdn.com/979/b628e7478c91fe6ddaeccf9b1feaf8b4_96.mp4,['Lil Uzi Vert'],./music/XO TOUR Llif3/XO TOUR Llif3.mp3,./music/XO TOUR Llif3/XO TOUR Llif3.png
No Role Modelz,J. Cole - 2014 Forest Hills Drive,2014 Forest Hills Drive,2014,292,https://c.saavncdn.com/910/2014-Forest-Hills-Drive-English-2014-20211215041543-150x150.jpg,https://aac.saavncdn.com/910/7f169c9b9827f8bd8ec83858ffe834fc_96.mp4,['J. Cole'],./music/No Role Modelz/No Role Modelz.mp3,./music/No Role Modelz/No Role Modelz.png
rockstar,Post Malone ft. 21 Savage - beerbongs &amp; bentleys,beerbongs &amp; bentleys,2018,219,https://c.saavncdn.com/454/beerbongs-bentleys-English-2018-20180426031217-150x150.jpg,https://aac.saavncdn.com/454/19c6b38d8a59f9999e4797ab72a81a38_96.mp4,['Post Malone'],./music/rockstar/rockstar.mp3,./music/rockstar/rockstar.png
Goosebumps (Remix),"Travis Scott, HVME - Goosebumps (Remix)",Goosebumps (Remix),2021,162,https://c.saavncdn.com/270/Goosebumps-Remix--English-2021-20210115025656-150x150.jpg,https://aac.saavncdn.com/270/666f50bbe57f810385d1919bd6b7bc1a_96.mp4,"['Travis Scott', 'HVME']",./music/goosebumps/goosebumps.mp3,./music/goosebumps/goosebumps.png
Blinding Lights,The Weeknd - After Hours,After Hours,2020,204,https://c.saavncdn.com/077/After-Hours-English-2020-20200320041958-150x150.jpg,https://aac.saavncdn.com/077/178fb5fd6443bd5a448eace275f5fd71_96.mp4,['The Weeknd'],./music/Blinding Lights/Blinding Lights.mp3,./music/Blinding Lights/Blinding Lights.png
Jocelyn Flores,XXXTENTACION - 17,17,2017,119,https://c.saavncdn.com/767/17-English-2017-20170823130421-150x150.jpg,https://aac.saavncdn.com/767/c3108db1fb4c61bbc2b949c3c3fb7579_96.mp4,['XXXTENTACION'],./music/Jocelyn Flores/Jocelyn Flores.mp3,./music/Jocelyn Flores/Jocelyn Flores.png
SAD!,XXXTENTACION - ?,?,2018,166,https://c.saavncdn.com/736/UMG_00842812106736-English-2018-20180316065537-150x150.jpg,https://aac.saavncdn.com/736/15c04a7f208e98836ee01d5aab08bec5_96.mp4,['XXXTENTACION'],./music/SAD!/SAD!.mp3,./music/SAD!/SAD!.png
All Girls Are The Same,Juice WRLD - Goodbye &amp; Good Riddance,Goodbye &amp; Good Riddance,2018,169,https://c.saavncdn.com/124/Goodbye-Good-Riddance-English-2018-20181209231819-150x150.jpg,https://aac.saavncdn.com/124/b41414eb77c59196368e7f275a77a804_96.mp4,['Juice WRLD'],./music/All Girls Are The Same/All Girls Are The Same.mp3,./music/All Girls Are The Same/All Girls Are The Same.png
HUMBLE.,Kendrick Lamar - DAMN.,DAMN.,2017,177,https://c.saavncdn.com/717/DAMN--English-2017-20190419234518-150x150.jpg,https://aac.saavncdn.com/717/ee372af8abdc814bd36627ef93b097e9_96.mp4,['Kendrick Lamar'],./music/HUMBLE./HUMBLE..mp3,./music/HUMBLE./HUMBLE..png
Circles,Post Malone - Circles,Circles,2019,215,https://c.saavncdn.com/517/Circles-English-2019-20190830032858-150x150.jpg,https://aac.saavncdn.com/517/46edd0bb7137f6ee0decf6ac82d4acd5_96.mp4,['Post Malone'],./music/Circles/Circles.mp3,./music/Circles/Circles.png
SICKO MODE,Travis Scott - ASTROWORLD,ASTROWORLD,2018,313,https://c.saavncdn.com/169/ASTROWORLD-English-2018-20190328195029-150x150.jpg,https://aac.saavncdn.com/169/bb0ae388f4ef98787d73495bf237ee25_96.mp4,['Travis Scott'],./music/SICKO MODE/SICKO MODE.mp3,./music/SICKO MODE/SICKO MODE.png
Congratulations,Post Malone ft. Quavo - Stoney,Stoney,2016,221,https://c.saavncdn.com/677/Stoney-English-2016-20200328185419-150x150.jpg,https://aac.saavncdn.com/677/5869c1087fbab5ce0b3b8ea0acdd2a01_96.mp4,['Post Malone'],./music/Congratulations/Congratulations.mp3,./music/Congratulations/Congratulations.png
I Fall Apart,Post Malone - Stoney,Stoney,2016,226,https://c.saavncdn.com/677/Stoney-English-2016-20200328185419-150x150.jpg,https://aac.saavncdn.com/677/2d5489a418f83a1b85596a1d9f6c6f89_96.mp4,['Post Malone'],./music/I Fall Apart/I Fall Apart.mp3,./music/I Fall Apart/I Fall Apart.png
Heat Waves,Glass Animals - Dreamland,Dreamland,2020,239,https://c.saavncdn.com/173/Dreamland-English-2020-20200806000748-150x150.jpg,https://aac.saavncdn.com/173/2737ceeecb666169ce2b422bf85e01e2_96.mp4,['Glass Animals'],./music/Heat Waves/Heat Waves.mp3,./music/Heat Waves/Heat Waves.png
God's Plan,Drake - Scorpion,Scorpion,2018,198,https://c.saavncdn.com/152/Scorpion-English-2018-20180701062706-150x150.jpg,https://aac.saavncdn.com/152/ff77c15a4e8d258ce599e29d3e81991d_96.mp4,['Drake'],./music/God's Plan/God's Plan.mp3,./music/God's Plan/God's Plan.png
The Box,Roddy Ricch - Please Excuse Me for Being Antisocial,Please Excuse Me for Being Antisocial,2019,196,https://c.saavncdn.com/085/Please-Excuse-Me-For-Being-Antisocial-English-2019-20200226200508-150x150.jpg,https://aac.saavncdn.com/085/f5605655a31ce0a8d17305bdc735356f_96.mp4,['Roddy Ricch'],./music/The Box/The Box.mp3,./music/The Box/The Box.png
MIDDLE CHILD,J. Cole - MIDDLE CHILD,MIDDLE CHILD,2019,213,https://c.saavncdn.com/709/MIDDLE-CHILD-English-2019-20190124011132-150x150.jpg,https://aac.saavncdn.com/709/ff0820a9cc8a5a6f0a4f596fb6ac3f28_96.mp4,['J. Cole'],./music/MIDDLE CHILD/MIDDLE CHILD.mp3,./music/MIDDLE CHILD/MIDDLE CHILD.png
Fuck Love,"XXXTENTACION, Trippie Redd - 17",17,2017,146,https://c.saavncdn.com/767/17-English-2017-20170823130421-150x150.jpg,https://aac.saavncdn.com/767/d4b23c25ef05f94f86d411402de9b9b9_96.mp4,"['XXXTENTACION', 'Trippie Redd']",./music/Fuck Love/Fuck Love.mp3,./music/Fuck Love/Fuck Love.png
Better Now,Post Malone - beerbongs &amp; bentleys,beerbongs &amp; bentleys,2018,230,https://c.saavncdn.com/454/beerbongs-bentleys-English-2018-20180426031217-150x150.jpg,https://aac.saavncdn.com/454/1cd01f7169b92e8a855e4a2049917d1f_96.mp4,['Post Malone'],./music/Better Now/Better Now.mp3,./music/Better Now/Better Now.png
One Dance,"Drake ft. Wizkid, Kyla - Views",Views,2016,174,https://c.saavncdn.com/521/Views-English-2016-20200713061113-150x150.jpg,https://aac.saavncdn.com/521/ebd2f1084f2660ce56efe0ed60d2dae8_96.mp4,['Drake'],./music/One Dance/One Dance.mp3,./music/One Dance/One Dance.png
good 4 u,Olivia Rodrigo - SOUR,SOUR,2021,178,https://c.saavncdn.com/443/SOUR-English-2021-20210622205946-150x150.jpg,https://aac.saavncdn.com/443/d88a9886def0460c2eb937cf392acf94_96.mp4,['Olivia Rodrigo'],./music/good 4 u/good 4 u.mp3,./music/good 4 u/good 4 u.png
Robbery,Juice WRLD - Death Race For Love (Bonus Track Version),Death Race For Love (Bonus Track Version),2022,240,https://c.saavncdn.com/656/Death-Race-For-Love-Bonus-Track-Version--English-2022-20220126063648-150x150.jpg,https://aac.saavncdn.com/656/54fb3dcbc775b016d7ac5d8fb3253c2b_96.mp4,['Juice WRLD'],./music/Robbery/Robbery.mp3,./music/Robbery/Robbery.png
lovely,"Billie Eilish, Khalid - lovely",lovely,2018,199,https://c.saavncdn.com/947/lovely-English-2018-20180418150240-150x150.jpg,https://aac.saavncdn.com/947/580fe2c0cb03ba147b00a4b2261764d4_96.mp4,"['Billie Eilish', 'Khalid']",./music/lovely/lovely.mp3,./music/lovely/lovely.png
SLOW DANCING IN THE DARK,Joji - BALLADS 1,BALLADS 1,2018,209,https://c.saavncdn.com/323/BALLADS-1-English-2018-20190607041947-150x150.jpg,https://aac.saavncdn.com/323/8917a3c62d5015de37705dbc9163e544_96.mp4,['Joji'],./music/SLOW DANCING IN THE DARK/SLOW DANCING IN THE DARK.mp3,./music/SLOW DANCING IN THE DARK/SLOW DANCING IN THE DARK.png
Moonlight,XXXTENTACION - ?,?,2018,135,https://c.saavncdn.com/736/UMG_00842812106736-English-2018-20180316065537-150x150.jpg,https://aac.saavncdn.com/736/aabdcaf22311849bd20f4c337fc638b2_96.mp4,['XXXTENTACION'],./music/Moonlight/Moonlight.mp3,./music/Moonlight/Moonlight.png
STAY,"The Kid Laroi, Justin Bieber - STAY",STAY,2021,140,https://c.saavncdn.com/895/Stay-English-2021-20210706223809-150x150.jpg,https://aac.saavncdn.com/895/9a3f48fb98e9dd0b201f6cacfb554408_96.mp4,"['The Kid Laroi', 'Justin Bieber']",./music/Stay/Stay.mp3,./music/Stay/Stay.png
Someone You Loved,Lewis Capaldi - Breach,Breach,2018,182,https://c.saavncdn.com/642/BREACH-English-2018-20181107133058-150x150.jpg,https://aac.saavncdn.com/642/a637158b7206c0f696f00cc67187cd7d_96.mp4,['Lewis Capaldi'],./music/Someone You Loved/Someone You Loved.mp3,./music/Someone You Loved/Someone You Loved.png
Watermelon Sugar,Harry Styles - Fine Line,Fine Line,2019,173,https://c.saavncdn.com/213/Fine-Line-English-2019-20191211223631-150x150.jpg,https://aac.saavncdn.com/213/b65310797c4153ff708343a8ee4af9de_96.mp4,['Harry Styles'],./music/Watermelon Sugar/Watermelon Sugar.mp3,./music/Watermelon Sugar/Watermelon Sugar.png
Wow.,Post Malone - Wow.,Wow.,2018,150,https://c.saavncdn.com/837/Wow--English-2018-20181223230744-150x150.jpg,https://aac.saavncdn.com/837/ed1049e3b925296a0bdbdef7056d2737_96.mp4,['Post Malone'],./music/Wow./Wow..mp3,./music/Wow./Wow..png
Location,Khalid - Location,Location,2016,217,https://c.saavncdn.com/019/Location-English-2016-150x150.jpg,https://aac.saavncdn.com/019/77aa9749469d5ae5ef48eaf499c27f54_96.mp4,['Khalid'],./music/Location/Location.mp3,./music/Location/Location.png
Sweater Weather,The Neighbourhood - I Love You.,I Love You.,2013,240,https://c.saavncdn.com/834/I-Love-You--English-2013-20220323205211-150x150.jpg,https://aac.saavncdn.com/834/18f56ba72edfe2bfab7210c173b9a5c3_96.mp4,['The Neighbourhood'],./music/Sweater Weather/Sweater Weather.mp3,./music/Sweater Weather/Sweater Weather.png
Yes Indeed,"LiL Baby, Drake - Harder Than Ever",Harder Than Ever,2018,142,https://c.saavncdn.com/982/Harder-Than-Ever-English-2018-20180516230011-150x150.jpg,https://aac.saavncdn.com/982/65d0c095d323e0356fdfdaa91244e0a5_96.mp4,"['LiL Baby', 'Drake']",./music/Yes Indeed/Yes Indeed.mp3,./music/Yes Indeed/Yes Indeed.png
Closer,The Chainsmokers ft. Halsey - Closer,Closer,2016,249,https://c.saavncdn.com/147/Closer-English-2016-150x150.jpg,https://aac.saavncdn.com/147/88201a8381e13cd6a9399f4bbfc5b7e9_96.mp4,['The Chainsmokers'],./music/Closer/Closer.mp3,./music/Closer/Closer.png
Psycho,Post Malone ft. Ty Dolla $ign - beerbongs &amp; bentleys,beerbongs &amp; bentleys,2018,221,https://c.saavncdn.com/454/beerbongs-bentleys-English-2018-20180426031217-150x150.jpg,https://aac.saavncdn.com/454/3a4637d3e09b6d7c94c6c2718a525e81_96.mp4,['Post Malone'],./music/Psycho/Psycho.mp3,./music/Psycho/Psycho.png
The Hills,The Weeknd - Beauty Behind The Madness,Beauty Behind The Madness,2015,242,https://c.saavncdn.com/330/Beauty-Behind-The-Madness-English-2015-20200429002553-150x150.jpg,https://aac.saavncdn.com/330/31376945eb598c03682fd838fee32ea5_96.mp4,['The Weeknd'],./music/The Hills/The Hills.mp3,./music/The Hills/The Hills.png
Levitating (feat. DaBaby),Dua Lipa ft. DaBaby - Levitating (feat. DaBaby),Levitating (feat. DaBaby),2020,203,https://c.saavncdn.com/651/Levitating-feat-DaBaby-English-2020-20231009225259-150x150.jpg,https://aac.saavncdn.com/651/1961c02c707b866858ce1db3ce304d5c_96.mp4,['Dua Lipa'],./music/Levitating/Levitating.mp3,./music/Levitating/Levitating.png
bad guy,"Billie Eilish - WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,194,https://c.saavncdn.com/640/WHEN-WE-ALL-FALL-ASLEEP-WHERE-DO-WE-GO--English-2019-20190328231137-150x150.jpg,https://aac.saavncdn.com/640/71daa3b428880f1dd3d50a56636491b3_96.mp4,['Billie Eilish'],./music/bad guy/bad guy.mp3,./music/bad guy/bad guy.png
Whiskey Glasses,Morgan Wallen - If I Know Me,If I Know Me,2018,234,https://c.saavncdn.com/569/If-I-Know-Me-English-2018-20200214001920-150x150.jpg,https://aac.saavncdn.com/569/9a0aa07a412b9bfae4857bc198865644_96.mp4,['Morgan Wallen'],./music/Whiskey Glasses/Whiskey Glasses.mp3,./music/Whiskey Glasses/Whiskey Glasses.png
drivers license,Olivia Rodrigo - SOUR,SOUR,2021,242,https://c.saavncdn.com/443/SOUR-English-2021-20210622205946-150x150.jpg,https://aac.saavncdn.com/443/2db4a8ddb98f0d1a4390ce2b6e7a05f6_96.mp4,['Olivia Rodrigo'],./music/drivers license/drivers license.mp3,./music/drivers license/drivers license.png
Kiss Me More,Doja Cat ft. SZA - Planet Her,Planet Her,2021,208,https://c.saavncdn.com/852/Planet-Her-English-2021-20230921232131-150x150.jpg,https://aac.saavncdn.com/852/d6f1f5c6ec4a16c1f77172cec08ce3ef_96.mp4,['Doja Cat'],./music/Kiss Me More/Kiss Me More.mp3,./music/Kiss Me More/Kiss Me More.png
ROCKSTAR,DaBaby ft. Roddy Ricch - BLAME IT ON BABY,BLAME IT ON BABY,2020,182,https://c.saavncdn.com/411/BLAME-IT-ON-BABY-English-2020-20200417055205-150x150.jpg,https://aac.saavncdn.com/411/0193052bdd927e187dee83f65f46e8be_96.mp4,['DaBaby'],./music/ROCKSTAR/ROCKSTAR.mp3,./music/ROCKSTAR/ROCKSTAR.png
INDUSTRY BABY,"Lil Nas X, Jack Harlow - INDUSTRY BABY",INDUSTRY BABY,2021,214,https://c.saavncdn.com/912/INDUSTRY-BABY-English-2021-20210720230254-150x150.jpg,https://aac.saavncdn.com/912/f853a75254577583872733d53ea1e5d3_96.mp4,"['Lil Nas X', 'Jack Harlow']",./music/INDUSTRY BABY/INDUSTRY BABY.mp3,./music/INDUSTRY BABY/INDUSTRY BABY.png
